"","genes","logFC","logCPM","F","PValue","FDR"
"3220","Arsa",0.0793464090391515,5.12425406996613,0.952689950976774,0.337679666669927,0.363329815285137
"25962","Ndufb5",0.0518499517451339,6.49279903313048,0.948038967607673,0.337838453112596,0.363470122005276
"6693","Dnm1l",-0.0438570028765584,6.79975029064476,0.943813191584521,0.338901248411526,0.36458291908843
"3673","BC065397",-0.282294640947553,0.830698619191884,0.942743409133508,0.339171036498585,0.364842500198621
"28305","Pex19",-0.0477329195183393,6.52944392194766,0.942206937015047,0.339306441312407,0.364957495254546
"5065","Chchd4",-0.0658020384720425,4.99119318621022,0.93399688646179,0.341388036008327,0.367165614067414
"2054","AI450353",0.468868271551939,0.125480787805987,0.932641847911597,0.342157981392023,0.367962790940191
"33339","Tmem126b",-0.111385107182745,3.45124816374547,0.929690114239941,0.342487082596008,0.368270514595805
"7445","Etv3",0.042715846483723,7.30695655623629,0.929633180222288,0.342501644538964,0.368270514595805
"13768","Gm34865",0.297453673046171,0.526406466460794,0.928373244201232,0.342824117407548,0.368586299194262
"7255","Eno1b",0.224453355033354,1.61416850264504,0.926120204044008,0.34340182352383,0.369176420974112
"19646","Hnrnpl",0.0332039017471133,9.06967034558106,0.925713481776731,0.343506256329691,0.369257690757361
"19394","Hdac2",0.0435615870624034,6.79564286920731,0.923762288602357,0.344007873802086,0.369765871236104
"1853","A230056P14Rik",0.311309057752759,0.743461255862543,0.921859414824116,0.344498052915763,0.3702616726193
"29566","R3hcc1",0.0835356430479295,4.3764397465701,0.918931664993666,0.345254143468284,0.371043164675734
"8346","Gaa",-0.0467243861079922,6.3659663121968,0.918568161519172,0.34534817965394,0.371113078253499
"7458","Evi5l",-0.0864168852682287,4.4496121511077,0.916440583755706,0.34589928898926,0.37167411223525
"25407","Mrpl3",-0.061033369038478,5.82269108844723,0.915964829070296,0.346118352769674,0.371878293943252
"32591","Supv3l1",-0.0643481578620313,5.11538724644953,0.914221632770879,0.346475376121135,0.372230656198602
"26297","Npm3",0.0534146386734386,6.30166055693567,0.911707588205476,0.347129697177922,0.372902329896249
"8091","Fkbpl",-0.188285135694551,2.06769860615201,0.911261751414122,0.347245913783009,0.372995883398324
"34279","Ube2v2",0.108385226756703,3.77086383106021,0.910801280750031,0.347366002141721,0.373093579720243
"6441","Dennd5a",0.0411180889059516,7.1460496480919,0.910169514525067,0.34753085803751,0.373239338855181
"4918","Cenpc1",-0.0469217227861238,6.32540190584109,0.90981509493093,0.347623389793834,0.373307405762332
"3939","Brcc3",0.0597937267313255,5.43540259669832,0.905918360912792,0.348643025464384,0.374370980383349
"34344","Ufm1",0.0483813891311577,6.56285129892236,0.905164306260106,0.348840818037374,0.374551960000719
"3445","Atp9b",0.0528808955620544,6.15110116439035,0.904809759228915,0.348933871959411,0.374620460337072
"7337","Ept1",-0.0472334759639845,6.633576686638,0.903938040549544,0.349162809973801,0.374834824087402
"33680","Tnrc6b",0.121382429033691,5.98794386761655,0.985721432717096,0.349424225604145,0.375084014490827
"549","1810026J23Rik",0.0567286206772952,5.7090509174145,0.902020557582034,0.349667136762336,0.37531330144524
"7487","Exosc5",-0.0841409217426211,5.11069255160359,0.9119774561967,0.349873022373323,0.375502812127266
"33196","Timm10",-0.104003323438721,3.77126351973048,0.900436933795351,0.350084424082552,0.375698210725534
"33811","Trdmt1",0.1410254234303,2.8926512085782,0.899674122911005,0.350285675255908,0.37588268429162
"5882","Cul5",0.0513154805186107,6.11072953182973,0.899122187699506,0.350431392680997,0.375996395213954
"1386","4931414P19Rik",0.130844308218536,3.30706387658677,0.89969609086814,0.350450369143189,0.375996395213954
"4257","Caml",0.0645741762186279,5.34490241257985,0.898322995280622,0.350642539763982,0.376171055770592
"30895","Senp8",0.15058029266137,2.91564493998638,0.897227172088964,0.351024868841643,0.37654967290921
"33152","Thg1l",-0.102716457745925,3.86220652325457,0.89670518624548,0.351070512902197,0.376567089773215
"3708","Baiap2",-0.0509540088347105,6.12265466140262,0.89496981881829,0.35153040080493,0.377028794899667
"20204","Ipo4",-0.0606266243997812,5.90404598252631,0.895315254798288,0.351611189300761,0.377083859212416
"25312","Mphosph10",-0.0522080407609381,6.12575901325499,0.893476353387749,0.351926860558641,0.377390792182682
"29585","Rab13",0.164430348639021,2.32127499701686,0.888672524930075,0.353206371739087,0.378731166481243
"31149","Shprh",-0.0646981563207459,5.46629155319385,0.880598282562314,0.355371769953845,0.381021143285522
"19963","Ifrd2",-0.0677374949340768,4.81676393774098,0.875467631852993,0.356757482138117,0.382474845845494
"2534","Afap1",-0.0881484606448354,4.4493552608854,0.875349955610629,0.356858306918425,0.382550910011756
"3315","Atad5",0.0526249178011859,6.16084734236354,0.872421923747602,0.357583696897817,0.383296437198773
"29075","Prdx4",-0.0465507212240763,6.83680885073053,0.8701969796683,0.358188973626109,0.383913100132445
"28453","Pigg",-0.0644814830301482,5.15090955095614,0.865058530270266,0.359592401025951,0.385385059854144
"1761","9330175E14Rik",-0.377772906647902,0.139063028381964,0.86369002797938,0.359967484443798,0.385754760925838
"21820","LOC108167694",-0.246378294814475,1.25202479957687,0.862587111480556,0.360270179336935,0.386046832335519
"28827","Polr1d",-0.0499290793879819,6.83532979584356,0.861085075130358,0.361120445894364,0.386925555156667
"6827","Dtwd2",0.124096518057643,3.00662394927057,0.859052332954539,0.361242736064615,0.387024199741247
"34085","Ttc33",0.108286130643311,3.9152121926457,0.860047981819979,0.361509744746628,0.387277861748563
"6470","Dgcr8",0.0513019630379957,5.99388655402442,0.854528441626307,0.362492888184781,0.388298597390507
"6450","Deptor",0.280938227339751,1.34629070093172,0.856164795773042,0.36262356205922,0.388406082155442
"2256","Acbd4",0.122102089177787,3.05955735562225,0.851091111715603,0.363446894374404,0.389255393314173
"28421","Phtf1os",-0.332207779384618,0.404589709114185,0.84813168943824,0.36427112838011,0.390105528051125
"717","2610035F20Rik",0.354368104701565,0.357869485826696,0.847872757990111,0.364343370564027,0.390150264264289
"25375","Mrm1",0.128536247156224,2.9175429547825,0.847733526639854,0.364382224723892,0.390159243046195
"9653","Gm16023",0.442438963565771,0.0833807534560065,0.847567554152522,0.364428549035813,0.39017621826117
"3026","Apoo-ps",0.294241362209608,1.41623982379592,0.859721974630644,0.364475060695384,0.390193391205116
"20682","Klhdc3",-0.0470734985117957,6.42398318977729,0.845616644429429,0.364973694555472,0.390694545960777
"19726","Hps4",0.068677111140018,4.93637144765381,0.845267759732456,0.365071306536935,0.390766369656896
"33330","Tmem116",0.283799632282795,0.677394970925553,0.844974118522701,0.36515349121266,0.39082166959028
"30805","Sdhaf2",0.0490066431073745,6.16687380069047,0.844605833586507,0.365256604604968,0.390899358292237
"7470","Exoc2",0.0494726366668244,6.27650095461078,0.841583708075897,0.366104319940053,0.391773843960586
