"","Uninfected_1","Uninfected_2","Uninfected_3","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"Plekha6",5.23130504959306,3.90702561936435,5.68211071365806,20.7670976049904,22.0778519382567,17.1899338982724,22.3452904857314,24.6907017791167,19.3291032441869
"Plekha7",21.7659656527711,21.6662329801114,22.4849238240469,43.2830034293484,37.6938935531213,46.9556615431756,40.3516896150102,40.6846786400831,45.4495130336286
"Plekha8",20.1778909055732,19.0023518759993,15.5852179574621,50.4968373342398,45.9506511885669,47.4080282247091,47.6193326370684,49.3814035582335,51.5094481047791
"Plekhb2",296.316064594807,288.764711685747,286.053687927586,198.926934953066,195.828751745025,202.750746663307,202.192337210696,195.326442414551,208.127425202272
"Plekhd1",0.280248484799628,0.0887960368037352,0.0811730101951151,1.63950770565714,2.0641894088614,1.53804671721384,1.62708425866976,2.09920946300183,1.35826130905097
"Plekhf1",6.25888282719169,6.74849879708387,5.76328372385317,22.734506851779,25.2190097343502,23.7944874486612,24.6232084478691,21.6918311176856,22.9859606147087
"Plekhf2",62.0283313023177,60.6476931369511,62.016179789068,49.9503347656875,46.3096406509776,48.6746549330029,47.6193326370684,47.6820435167558,50.7780766306747
"Plekhg2",5.32472121119293,5.68294635543905,5.68211071365806,12.7881601041257,16.6032626364939,13.7519471186179,11.0641729589544,15.194278017918,14.6274294820874
"Plekhg3",114.901878767848,127.333516776556,115.346847487259,126.460694363021,124.928332918916,116.348710490412,116.390760636844,125.252831292442,120.049403392274
"Plekhg4",57.264107060724,59.3157525848951,62.746736880824,24.7019160985675,25.5779991967609,26.7801075467822,24.8401530156917,27.0897983082617,27.3741894593349
"Plekhg5",28.3050969647624,27.2603832987467,29.5469757110219,20.0019940090171,22.3470940350648,22.7992807492876,19.6334833879485,17.9932239685871,17.2394704610315
"Plekhh1",1.02757777759864,0.799164331233616,0.568211071365806,25.1391181534094,21.9881045726541,21.6231273773005,22.1283459179088,23.5911158699253,19.6425481616602
"Plekhh3",13.6387595935819,17.5816152871396,13.6370657127793,25.2484186671199,29.7063780144837,26.3277408652488,30.5891840629916,23.5911158699253,26.015928150284
"Plekhj1",69.7818727151074,71.9247898110255,74.2733043285303,36.3970710655884,36.0784409722732,33.2037144245577,35.6873814068235,35.0867867387448,32.4937897780655
"Plekhm1",121.908090887838,118.098728948968,120.298401109161,36.287770551878,41.8222723708441,39.1749546207997,39.3754390598083,41.5843398385124,39.0761330450048
"Plekhm2",41.1031111039455,45.4635708435124,43.4275604543866,28.0902320235923,35.5399567786572,28.7705209455296,31.1315454825482,28.7891583497394,28.5234874900704
"Plekhm3",173.28697976777,177.769665681078,164.131826614523,84.1613955570664,81.4906079672241,78.2594359052927,72.3510133688488,83.1686796770248,75.2267801935922
"Plekhn1",39.3282040335478,40.8461769297182,43.5899064747768,6.3394297952076,6.73105242020023,6.87597355930895,6.07444789903379,6.09770367824341,6.05993507115048
"Plekho1",435.973226186621,455.790056913573,449.373784440157,112.47022860808,117.6587963051,116.710603835639,123.441459091079,120.954450011058,117.541844052488
"Plekho2",210.186363599721,212.222527960927,211.455691558275,111.705125012106,106.350628239164,106.668063505595,104.458809406599,102.361451910184,101.765116539665
"Plet1",0.560496969599256,0.0887960368037352,0.0811730101951151,1.53020719194666,1.16671575283471,1.62852005352054,1.19319512302449,0.899661198429355,0.835853113262135
"Plgrkt",40.0755333263468,40.579788819307,41.9664462708745,45.1411121624265,40.3863145212014,42.2510480552274,43.388913564527,40.1848668631779,39.7030228799514
"Plin2",148.158032297403,141.363290591546,143.838574065744,51.0433399027922,49.8097879094817,47.6794482336292,57.5987827569096,50.0811400459008,54.7483789186699
"Plin3",54.6484545359275,55.4975230023345,54.7106088715076,65.471007712575,63.1821453842795,63.3313354146877,63.9986475076774,63.8759450884842,62.8979467729757
"Plk1",181.694434311759,179.456790380349,187.266134520131,108.316809087082,108.325070282422,113.182143719678,92.20144132462,95.4640493888927,97.6903326125121
"Plk2",0.093416161599876,0.266388110411205,0.16234602039023,73.3406446997293,63.2718927498821,63.6027554236078,67.2528160250169,69.4738369898224,66.2413592260242
"Plk3",5.04447272639331,4.26220976657929,5.76328372385317,18.143885275939,16.8725047333019,15.9233071899786,18.2233436971014,18.1931486793492,19.4335848833446
"Plk4",141.899149470212,140.74171833392,133.610774781159,102.086679805584,104.465933561508,96.354103166632,103.482558851397,102.661338976328,94.5558834377791
"Plk5",0,0,0,10.6021498299162,12.6543785499764,9.95206699373664,10.8472283911318,11.3957085134385,12.2243517814587
"Pllp",0,0.17759207360747,0,2.40461130163047,2.33343150566941,1.99041339874733,2.16944567822635,2.59902123990703,1.8806695048398
"Plod1",20.364723228773,20.9558646856815,23.6213459667785,41.9713972648227,46.3096406509776,49.1270216145363,49.1379446118269,46.1826081860402,45.6584763119441
"Plod3",87.3441110958841,84.6226230739596,91.5631555000899,122.744476896864,131.031153779898,128.200717546589,120.295762857651,120.854487655677,132.482718452048
"Plp2",321.445012065173,316.113891021297,325.341424862021,178.269137861786,178.50751018371,174.251645726698,152.29508661149,153.642140220658,152.334229892024
"Plpp1",103.038026244663,100.250725551417,107.067200447357,71.1546344255198,72.6953661381624,72.9215090631976,68.5544834319527,69.5737993452035,67.9130654525485
"Plpp2",26.6236060559647,26.3724229307093,25.8130172420466,22.515905824358,18.3982099485473,21.170760695767,22.0198736339975,21.1920193407804,20.4784012749223
"Plpp3",12.8914303007829,14.4737539990088,12.2571245394624,9.61844520652187,8.43625236665095,6.69502688669556,8.35236586117146,7.49717665357796,9.19438424588349
"Plpp5",32.3219919135571,27.9707515931766,27.7611694867294,27.106527400198,30.2448622080997,30.3085676627434,29.9383503595237,29.5888571927877,29.2548589641747
"Plpp6",28.7721777727618,28.2371397035878,29.9528407619975,19.2368904130437,21.6291151102434,16.2852005352054,18.3318159810127,18.4930357454923,17.8663602959781
"Plppr2",2.80248484799628,2.21990092009338,1.54228719370719,6.88593236375998,9.69271548508833,6.78550022300226,7.81000444161487,10.6959720257712,8.56749441093689
