"","genes","logFC","logCPM","F","PValue","FDR"
"30314","Rpl10",-0.783954150937102,9.1220401924347,460.603243600186,5.00087303101153e-20,4.75045839481473e-19
"32845","Tbc1d15",1.0486243793986,6.83476484258529,460.084600653967,5.08268128958502e-20,4.82459109808274e-19
"4896","Cecr2",10.1867690681642,3.08301765080573,528.793481145353,5.12009014178991e-20,4.85650031597184e-19
"30878","Sema4c",-1.09216129577738,6.93250978872038,459.278638904455,5.21265150268329e-20,4.94063674995259e-19
"23093","Lif",2.89703210230595,3.68731094013622,459.229017650524,5.22076832787214e-20,4.94467000284044e-19
"31974","Snx2",-0.78025149250385,8.37412044565298,458.993577218138,5.2594645454985e-20,4.97763810089492e-19
"1106","4930486L24Rik",-2.76315414353285,3.68608225401733,458.551076028057,5.33302175302082e-20,5.04352611133173e-19
"2862","Ankrd34b",9.98466535829418,2.86809368462298,526.696975103277,5.40467475404616e-20,5.10751735982e-19
"19805","Hspa9",0.688133147776017,9.62272067671929,457.930300192981,5.43806630232529e-20,5.13528311218845e-19
"29202","Prpf18",-1.37895804332527,5.80785208862826,457.865342561245,5.44918480905327e-20,5.14199052910296e-19
"30174","Rnf125",6.02038521378899,3.18647707715146,457.766162846585,5.46620769421096e-20,5.15425548780348e-19
"4818","Cdk17",1.54558878407274,5.18478875165095,457.678291297641,5.48133701329016e-20,5.16471820862255e-19
"35339","Zbtb41",1.45362880237846,6.2745393756989,500.781272436617,5.54874815763796e-20,5.22439118812897e-19
"30885","Sema6b",1.47654344018614,5.38638449917336,457.122982776462,5.57798508013439e-20,5.24806017274951e-19
"30371","Rplp0",-0.835013665082255,11.1943311858192,520.99589749673,5.73780533862675e-20,5.39446382974417e-19
"33003","Tecpr2",-1.35110530519657,5.86980721595167,455.95069829363,5.78802613302388e-20,5.43768706040871e-19
"28414","Phospho1",2.30628854059353,4.4618689734087,455.852545479509,5.80599068968763e-20,5.45056530655792e-19
"32380","St3gal3",-1.67651197446239,4.997354566323,455.69582444089,5.83479801936342e-20,5.46961354704303e-19
"35165","Wnt11",10.1571302580002,3.06036761774931,523.742395770408,5.83482397911814e-20,5.46961354704303e-19
"33208","Timm8b",1.32390943434005,6.04840303701516,455.671311222494,5.8393176148811e-20,5.46982165753858e-19
"3876","Bmp2k",-1.38713324292652,6.88678249248591,612.219275586152,5.90174305308994e-20,5.52425583295443e-19
"7242","Enah",1.37019566506825,6.10903130471768,455.119860999504,5.94198243487336e-20,5.55785866169126e-19
"19660","Hook3",-1.05155271406935,6.89646869190474,454.598652520126,6.04078595635337e-20,5.64615066942372e-19
"4287","Caprin2",2.02926768263869,4.78952954955939,454.400257272423,6.07885358245495e-20,5.67758717165103e-19
